kinder_nm,estab_gbn,open_dt,appr_cap,age3_cnt,age4_cnt,age5_cnt,mix_cnt,spec_cnt,lon,lat
가람유치원,사립(사인),20151102,180,26,44,46,0,0,127.099569,37.196383
갈담초등학교병설유치원,공립(병설),19850902,18,0,0,0,6,0,126.932910063713,37.175142447568
경기유치원,사립(사인),20020202,246,7,4,10,0,0,127.026971962248,37.199660681404
고정초등학교병설유치원,공립(병설),19810301,18,0,0,0,7,0,126.738174307205,37.2377174140126
구봉초등학교병설유치원,공립(병설),20040901,38,0,0,7,9,0,127.044813262021,37.2056609168671
기산초등학교병설유치원,공립(병설),20040915,38,0,0,12,6,0,127.050734324687,37.2246012589747
기안초등학교병설유치원,공립(병설),19860306,42,0,0,5,9,3,126.982571649974,37.2254588462686
깊은샘유치원,공립(단설),20090309,116,26,38,34,0,4,126.912617678439,37.1300724081079
꿈드림유치원,사립(사인),20150301,220,16,17,36,0,0,127.10650702735,37.1979549461703
꿈사랑유치원,사립(사인),20180301,176,33,46,73,0,0,127.1248798949,37.1848788614
나루아이유치원,공립(단설),20230301,154,50,47,39,0,7,127.0795289472,37.187339563
나인유치원,사립(사인),20120301,322,78,85,104,0,0,127.052513513054,37.209756488204
남양초등학교병설유치원,공립(병설),19810320,18,0,0,0,11,0,126.815573840461,37.2103812324183
내리숲초등학교병설유치원,공립(병설),20240901,116,28,40,48,0,0,126.924502342499,37.2260183600807
노진초등학교병설유치원,공립(병설),19860222,18,0,0,0,4,0,126.809190689232,37.0516026516638
늘봄초등학교병설유치원,공립(병설),20210303,58,7,12,15,0,0,127.109838571019,37.2174853260613
늘푸른유치원,사립(사인),19950221,80,30,18,32,0,0,126.995584735981,37.223448075131
능동초등학교병설유치원,공립(병설),20080301,58,4,8,4,0,0,127.058872248912,37.2133147421318
다온유치원,사립(사인),20120130,256,71,66,96,14,0,126.97567635847,37.2250787783638
다일유치원,사립(사인),20070307,117,7,15,22,0,0,127.036303346363,37.2191624712524
대양초등학교병설유치원,공립(병설),20170901,58,13,12,19,0,0,126.8049527999,37.264342956
도담유치원,사립(사인),20180307,154,36,40,55,0,0,127.1269833719,37.1901243598
도이초등학교병설유치원,공립(병설),20081001,58,10,11,10,0,0,126.926116410859,37.132633629995
동산숲유치원,사립(사인),20110301,169,9,23,24,0,0,126.943347744275,37.1358463982844
동실유치원,사립(사인),20070302,128,19,23,25,0,0,127.042885973105,37.2084901018352
동양초등학교병설유치원,공립(병설),20050301,38,0,0,9,9,0,126.822190043337,37.20699307841
동탄국제유치원,사립(사인),20171023,512,190,121,131,0,0,127.1117252494,37.1751173564
동탄꿈의유치원,사립(사인),20070301,588,75,71,99,0,0,127.077248960584,37.1969879008738
동탄목동초등학교병설유치원,공립(병설),20190306,58,7,12,17,0,0,127.12452262891956,37.18951785983508
동탄사관유치원,사립(사인),20200501,218,33,72,57,0,0,127.11073702530308,37.167313338190056
동탄에이스유치원,사립(사인),20240501,114,7,8,0,0,0,127.094183044595,37.1639263414754
동탄유치원,공립(단설),20170901,224,51,56,61,0,12,127.0906970127,37.1915236905
동탄이화유치원,사립(사인),20080415,169,28,45,43,0,0,127.052396937602,37.2089817420592
동탄중앙초등학교병설유치원,공립(병설),20150309,58,3,9,20,0,0,127.111288146587,37.1992020522865
동탄창의나라유치원,사립(사인),20160901,448,70,60,63,0,0,127.1114801584,37.210619058
동탄초등학교병설유치원,공립(병설),19820305,58,4,5,18,0,0,127.091284759324,37.1891361692411
동탄프라임유치원,사립(사인),20101113,290,75,43,37,0,0,127.060741859984,37.2064980633455
동탄호수유치원,공립(단설),20200301,144,55,40,40,0,4,127.1135961051,37.1680874327
동하유치원,사립(사인),20161201,192,40,59,51,0,0,127.104612,37.174891
동학초등학교병설유치원,공립(병설),20010903,58,13,7,23,0,0,127.058799009603,37.2330299278879
동화초등학교병설유치원,공립(병설),20071017,62,13,13,19,0,3,126.961633914777,37.2148867620776
라온유치원,공립(단설),20210315,220,56,70,64,0,12,127.12203009667137,37.17262748797208
리더스유치원,사립(사인),20150302,346,100,82,81,0,0,127.100514033849,37.2024473298342
마도초등학교병설유치원,공립(병설),19840911,18,0,0,0,4,0,126.772656443273,37.2041735832188
무봉유치원,공립(단설),20150310,153,42,40,33,0,4,127.1237719227,37.203789053
무봉초등학교병설유치원,공립(병설),20150301,58,13,7,17,0,0,127.116839146275,37.202997030832
민들레유치원,사립(사인),20070301,140,44,44,50,0,0,126.947856775384,37.2212926773002
바다유치원,사립(사인),20100901,356,32,58,64,0,0,126.914828867637,37.1295605259075
