cc_name,cc_type,oper_stat,appr_dt,close_dt,bus_yn,appr_cap,curr_cnt,lon,lat
명문어린이집,민간,정상,1998-05-23,,운영,125,98,126.8053469,37.20464834
노란레몬어린이집,가정,폐지,2005-05-16,2021-05-12,미운영,19,0,127.04435,37.226986
정남행복한어린이집,민간,폐지,1995-07-18,2020-07-06,운영,115,0,126.9709669,37.1620656
발안어린이집,사회복지법인,정상,1991-12-21,,운영,95,31,126.9277704,37.1588478
비봉어린이집,사회복지법인,정상,1997-06-30,,운영,64,26,126.8864491,37.24915078
송산어린이집,사회복지법인,폐지,1998-01-23,2022-02-26,운영,98,0,126.7391772,37.22239656
서신어린이집,법인·단체등,폐지,1998-03-02,2018-04-18,운영,39,0,126.703686,37.16953614
송림어린이집,사회복지법인,정상,1998-01-17,,운영,92,58,127.0152382,37.21305626
양감교회부설양감어린이집,법인·단체등,폐지,1997-01-25,2019-09-05,운영,30,0,126.9440631,37.08110304
사회복지법인조암어린이집,사회복지법인,휴지,1996-03-16,,운영,99,0,126.7844353,37.08609195
화성삼성어린이집,직장,정상,2006-04-19,,미운영,300,273,127.0676316646,37.2227695186
기안우림어린이집,가정,정상,2001-07-27,,운영,16,14,126.974421,37.22594505
신흥어린이집,법인·단체등,정상,1997-04-28,,운영,189,67,126.8064486,37.08230028
정남어린이집,사회복지법인,정상,1996-06-14,,운영,113,41,126.9830986,37.17213554
우정어린이집,민간,폐지,1997-10-27,2020-03-19,운영,39,0,126.8151799,37.08813591
샛별어린이집,사회복지법인,정상,1999-03-06,,운영,79,15,126.8148025,37.18492322
동남영아어린이집,민간,정상,2001-11-14,,운영,28,17,126.9843416,37.1614565
아이숲어린이집,가정,폐지,2004-08-27,2021-03-22,미운영,20,0,127.03855223418064,37.20421011471361
와보라어린이집,가정,폐지,2004-07-08,2012-07-09,미운영,12,0,127.0411205,37.2177074
영아어린이집,가정,정상,2005-01-25,,운영,20,14,127.03855223418064,37.20421011471361
예슬랑어린이집,가정,폐지,2004-06-06,2025-08-26,미운영,20,0,127.0617494,37.23346691
꿈터어린이집,민간,폐지,2002-01-15,2022-05-06,미운영,26,0,127.0604586,37.23159412
예쁜그림어린이집,가정,정상,2004-08-16,,미운영,20,16,126.98564,37.22253
아이들사랑어린이집,가정,정상,2004-10-13,,미운영,20,15,127.0356853,37.21708026
사과향기어린이집,가정,폐지,2004-06-09,2024-03-27,미운영,20,0,127.0438176906716,37.21649860998024
호크마어린이집,가정,폐지,2004-08-16,2022-03-28,미운영,20,0,126.98564,37.22253
하늘빛어린이집,가정,폐지,2004-05-20,2021-07-13,운영,20,0,126.8358843,37.19437913
푸른빛어린이집,가정,폐지,2008-05-28,2018-01-01,미운영,20,0,127.03855223418064,37.20421011471361
동문지혜샘어린이집,가정,폐지,2004-07-02,2023-03-07,미운영,20,0,126.9528934,37.21855971
리틀산길어린이집,가정,폐지,2004-05-14,2024-04-25,미운영,19,0,127.0417958008766,37.203012418581146
기안어린이집,가정,폐지,2004-07-08,2019-07-24,미운영,20,0,126.98564,37.22253
포도나무어린이집,가정,폐지,2004-07-13,2019-03-18,미운영,20,0,127.03855223418064,37.20421011471361
광도어린이집,가정,정상,2002-04-20,,미운영,17,10,126.9745477,37.22699141
리틀동그라미어린이집,가정,정상,1999-12-17,,미운영,20,9,127.0429374,37.20294505
꿈꾸는아이들어린이집,가정,정상,2004-07-23,,미운영,20,20,127.03855223418064,37.20421011471361
오즈어린이집,가정,폐지,2004-05-10,2015-02-03,미운영,16,0,126.8358843,37.19437913
동산몬테소리어린이집,가정,정상,2004-07-08,,운영,20,8,126.8358843,37.19437913
상록어린이집,민간,폐지,2004-07-23,2018-06-05,운영,39,0,126.9778919,37.16117037
생각이크는숲어린이집,가정,정상,2004-08-16,,미운영,20,18,127.03855223418064,37.20421011471361
신미주어린이집,가정,정상,2004-07-23,,미운영,20,15,126.98564,37.22253
신창어린이집,가정,폐지,2004-08-16,2018-08-29,미운영,20,0,127.03855223418064,37.20421011471361
아이콩콩어린이집,가정,폐지,2004-07-23,2022-06-07,미운영,19,0,127.0510304665049,37.22312924353694
우주목아이어린이집,가정,폐지,2004-11-29,2021-03-26,미운영,20,0,127.05293288842732,37.207675410008505
동화의나라어린이집,가정,폐지,2005-01-25,2018-02-26,운영,20,0,126.98564,37.22253
어린왕자어린이집,가정,폐지,2005-05-24,2020-03-25,미운영,19,0,127.04435,37.226986
푸른나무어린이집,가정,정상,2005-01-24,,운영,20,17,126.97645094560689,37.2231216768424
푸른별어린이집,가정,폐지,2004-12-28,2021-05-07,미운영,19,0,127.04242302476456,37.20465210896074
