bis_id,stn_nm,lon,lat
GGB233001415,양지말입구,126.7157667,37.2052833
GGB233001416,주곡1리입구,126.8188167,37.1164833
GGB233001417,주곡2리(회차),126.8044333,37.1142667
GGB233001418,장안9리입구,126.8545833,37.0606333
GGB233001419,장안6리,126.85635,37.0523667
GGB233001420,장안3리,126.8520167,37.0417333
GGB233001421,장안8리,126.8465833,37.0379167
GGB233001422,장명초분교,126.8440167,37.03795
GGB233001423,장안제일교회,126.8432333,37.0346333
GGB233001424,장안제일교회,126.84335,37.0347
GGB233001425,장안4리(고잔)종점,126.8373,37.0364833
GGB233001426,멱우2리,126.8137167,37.1020667
GGB233001427,봉담자이프라이드시티,126.9270333,37.2259667
GGB233001428,장안9리입구,126.8544667,37.0606
GGB233001429,장명초분교,126.8438667,37.0374833
GGB233001430,장안8리,126.8466,37.0377833
GGB233001431,장안3리,126.8521,37.0416
GGB233001432,장안6리.물구리,126.8564667,37.0523333
GGB233001433,인제카센터,126.7656333,37.0367667
GGB233001434,조암시장,126.8156167,37.0815333
GGB233001435,화성시청,126.8284833,37.1978333
GGB233001436,이주단지,127.0641167,37.2117667
GGB233001437,개나리공원,127.0677167,37.21135
GGB233001438,개나리공원,127.06755,37.2117
GGB233001439,이주단지,127.0653167,37.2119
GGB233001440,발안공단로4길교차로,126.89965,37.0844333
GGB233001441,공청2,126.94505,37.2276667
GGB233001442,송산교입구,127.02565,37.2071833
GGB233001443,송산교차로,126.9877667,37.1067667
GGB233001444,외골,126.9683,37.154
GGB233001445,문학4리.마을회관앞,126.9718,37.1513667
GGB233001446,요당리,126.93655,37.0684167
GGB233001447,동탄국제고등학교,127.0794667,37.1890167
GGB233001448,나루마을.월드반도,127.0765167,37.1908
GGB233001449,쌍용예가,127.0718,37.1935
GGB233001450,솔빛마을.화성동탄중앙도서관,127.0696333,37.1958167
GGB233001451,반월2통,127.0573333,37.2194667
GGB233001452,새강마을.화성동탄중앙도서관,127.0692,37.1956667
GGB233001453,새강주공휴먼시아,127.0716167,37.1932333
GGB233001454,탄요유적공원,127.0762333,37.1906167
GGB233001455,동탄국제고등학교,127.0791833,37.1890667
GGB233001456,아너스호텔,127.0584833,37.2201333
GGB233001457,와우농협앞,126.9746333,37.218
GGB233001458,힐스테이트봉담프라이드시티,126.9245667,37.2236333
GGB233001459,힐스테이트봉담프라이드시티,126.92495,37.2239
GGB233001460,사강3리,126.7275333,37.22685
GGB233001461,쌍정리,126.7242333,37.2307167
GGB233001462,쌍정2리.잿말,126.7274,37.2329333
GGB233001463,쌍정2리.잿말,126.7251833,37.2338
GGB233001467,쌍정2리,126.73005,37.2344667
GGB233001468,봉담자이프라이드시티,126.9271167,37.2257667
GGB233001469,용포1리,126.7581667,37.2294667
GGB233001470,용포1리.당뫼,126.7535833,37.2311
GGB233001471,용포1리.당뫼,126.7534333,37.2310333
GGB233001472,용포2리,126.7480833,37.2317833
GGB233001473,용포2리.영계,126.7414167,37.2322833
GGB233001475,중송1리,126.7061,37.2241833
GGB233001476,마산2리,126.6856667,37.2329333
GGB233001477,고포2리,126.6794667,37.2367
GGB233001478,고포1리,126.6672667,37.2408667
GGB233001479,농협하나로마트,126.91065,37.1289167
GGB233001480,수리재,126.9349667,37.1132667
GGB233001482,육일리교차로,126.7244,37.2033333
GGB233001483,육일리교차로,126.7242833,37.2037
GGB233001484,노작마을,127.08025,37.1949333
GGB233001485,월드반도.노작마을,127.0802667,37.1946333
GGB233001486,노작마을.한화우림,127.0773333,37.1961833
GGB233001487,노작마을.한화우림,127.0774667,37.19575
GGB233001488,솔빛마을.신도브래뉴,127.076,37.1959667
GGB233001490,중흥에듀파크정문,126.9457167,37.2330167
GGB233001491,반도1차.모아아파트,127.1141,37.2018833
GGB233001492,상록.경남아파트.이주택지,127.1105333,37.2068667
GGB233001493,퍼스트파크.이지더원,127.1083,37.2086833
GGB233001494,정남초등학교,126.9837667,37.1678167
GGB233001495,계향2리,126.9811,37.15225
GGB233001496,중흥에듀파크정문,126.94585,37.2332
GGB233001497,증거리입구,126.9774167,37.1377333
GGB233001498,증거리입구,126.9775167,37.1379333
GGB233002550,분천교회.분천리,126.9587,37.2089833
GGB233002551,분천교회,126.9586333,37.20925
GGB233002552,협성대학교(마을),126.9524,37.2156667
GGB233002553,장덕2리.현대자동차연구소,126.8119333,37.1702833
GGB233002556,장짐교차로.축산농협,126.9110167,37.1355167
GGB233002557,협성대(마을),126.9525,37.2157333
GGB233002558,화성미디어센터,127.07355,37.2024167
GGB233002559,한림대성심병원,127.0806333,37.2173
GGB233002560,주공6단지.리체더포레스트,127.0507167,37.2119833
GGB233002561,봉담2LH3단지.중흥더센트럴,126.9508333,37.2250667
GGB233002562,하저교회앞,126.8669167,37.1849667
GGB233002563,중심상가,127.0446,37.2148667
GGB233002564,구장1리,126.8950833,37.1545
GGB233002565,라마다호텔,127.0748333,37.2058
GGB233002566,동화휴먼시아5단지,126.9634667,37.2150167
GGB233002567,삼부실,126.8222333,37.2339833
GGB233002568,수화2리.양철이,126.8181667,37.2481333
GGB233002569,수화1리,126.8163167,37.2533833
GGB233002570,장전리,126.8169333,37.2633333
GGB233002571,신외2리.가래울,126.81165,37.2733833
GGB233002572,신외2리.가래울,126.8116833,37.2735333
GGB233002573,정원채고가,126.8236833,37.2233167
GGB233002574,송림2리.잔다리,126.8141667,37.2198
GGB233002575,원천교회,126.8086833,37.2279167
GGB233002576,원천리,126.8051167,37.2303667
GGB233002577,시1리,126.8031833,37.2375333
GGB233002578,문호2리,126.79805,37.2532667
GGB233002579,문호리,126.8018167,37.2599333
GGB233002580,삼존2리입구,126.7482333,37.21385
GGB233002581,신외리,126.8131333,37.2687
GGB233002582,신외리,126.81315,37.2685833
GGB233002583,문호1리.당너머마을,126.8067667,37.26465
GGB233002584,서연초,127.1161,37.1594667
GGB233002585,문호리,126.8019333,37.2598667
GGB233002586,문호2리,126.7982667,37.2533167
GGB233002587,문호2리입구,126.8010333,37.2463833
GGB233002588,가시리마을,126.8027167,37.2404833
GGB233002589,시1리,126.8034833,37.2372167
GGB233002590,원천리,126.80575,37.2299667
GGB233002591,원천교회,126.8089,37.2278167
GGB233002592,천등1리.등굴,126.7069167,37.23315
GGB233002593,천등3리.새말,126.70195,37.2413833
GGB233002594,독지리종점,126.6923667,37.2531167
GGB233002595,독지1리.돌내입구,126.6992667,37.24615
GGB233002596,금당1리마을회관,126.74245,37.1918
GGB233002597,해문2리마을회관,126.7465,37.19775
GGB233002598,금당1리마을회관,126.7425333,37.1917667
GGB233002600,송정1리,126.79545,37.22375
GGB233002601,궁평유원지종점,126.6842333,37.1267833
GGB233002602,흥법리마을회관,126.7340333,37.16495
GGB233002603,흥법리모래지,126.7399667,37.1665833
GGB233002604,고모2리,126.7465,37.1727333
GGB233002605,사곳리마을회관,126.7245833,37.1561167
GGB233002606,용두1리.왕모대입구,126.7115333,37.1483
GGB233002607,용두1리,126.7082333,37.14415
GGB233002608,삼밭골,126.7211667,37.1667
GGB233002609,삼밭골,126.7211,37.1665833
GGB233002610,어은1정미소앞,126.8310833,37.0929667
GGB233002611,금의1리,126.8391167,37.1002
GGB233002612,수촌3리,126.8506333,37.1033333
GGB233002613,노하1리,126.86735,37.1573333
GGB233002614,노하1리,126.8672333,37.1572
GGB233002615,노하2리,126.8620333,37.1576833
GGB233002616,노하3리,126.8548833,37.1587667
GGB233002617,노하3리.백미정,126.8521167,37.1569833
GGB233002618,구장1리,126.8951333,37.1546167
GGB233002619,노하2리,126.8621667,37.1577
GGB233002620,정미소앞,126.8597,37.1592
GGB233002621,청광플러스원아파트,126.98555,37.1965333
