inst_purp,cam_cnt,inst_ym,lon,lat
생활방범,1,,127.18707,37.55435
생활방범,1,201601,127.1584154,37.49162753
교통단속,3,201812,127.1789,37.57366
생활방범,3,,127.1451038,37.50420036
생활방범,4,202206,127.2107436,37.54814512
생활방범,4,201806,127.1891093,37.55647048
생활방범,5,201612,127.1845264,37.55948792
생활방범,2,201311,127.2111684,37.54165074
생활방범,4,201609,127.1920071,37.51370731
생활방범,5,201707,127.1794445,37.57231601
생활방범,5,201908,127.191302,37.57534218
차량방범,2,200805,127.2277514,37.53650225
쓰레기단속,2,201701,127.2011,37.53411
생활방범,4,201506,127.1720151,37.53835984
생활방범,5,202304,127.2127,37.5594
생활방범,4,201806,127.1830132,37.5556308
생활방범,5,202307,127.188187,37.549224
생활방범,5,201311,127.2091203,37.53798126
재난재해,1,,127.1931,37.5056
생활방범,3,201506,127.1899953,37.54281443
생활방범,3,201311,127.2316072,37.49663886
재난재해,1,,127.214234,37.53716
생활방범,4,201202,127.2011746,37.54088885
생활방범,5,202105,127.2074213,37.54902752
생활방범,4,202105,127.2714562,37.52673276
생활방범,5,,127.1608301,37.5119282
생활방범,3,,127.1554303,37.4754946
쓰레기단속,1,202206,127.186607,37.547687
생활방범,3,,127.1808003,37.58120341
쓰레기단속,1,201701,127.204,37.54018
쓰레기단속,1,201801,127.2115,37.54098
생활방범,5,201506,127.2160402,37.54466102
교통단속,1,201812,127.172705,37.544472
생활방범,5,201906,127.2082813,37.54098045
다목적,1,202210,127.1991,37.5378
생활방범,5,201806,127.1945389,37.57341449
쓰레기단속,1,201801,127.2115,37.54098
쓰레기단속,1,201701,127.2205,37.542
교통단속,1,202011,127.160672,37.48566
생활방범,4,201806,127.1825848,37.5590853
생활방범,5,201707,127.1841091,37.57884148
생활방범,4,,127.1858435,37.56941632
생활방범,4,201506,127.1987337,37.54487846
교통단속,1,202212,127.20096,37.53214
생활방범,5,202206,127.2066657,37.53820908
생활방범,1,201311,127.2060269,37.5374697
생활방범,4,201311,127.1983765,37.53321987
쓰레기단속,1,201701,127.2266,37.52153
생활방범,4,202206,127.2297974,37.5322899
생활방범,3,,127.1836155,37.56302978
다목적,1,202206,127.1732,37.5288
교통단속,1,201807,127.190565,37.566208
생활방범,5,202206,127.2130811,37.53959278
생활방범,3,202105,127.1635805,37.51653568
생활방범,3,201012,127.2026881,37.53497877
생활방범,4,201506,127.2339283,37.49320435
쓰레기단속,2,201901,127.2019,37.54876
생활방범,4,201311,127.2141955,37.5335489
교통단속,1,202007,127.17808,37.57202
생활방범,6,201606,127.2129662,37.54115329
생활방범,5,201806,127.1928368,37.56303813
생활방범,4,201311,127.1978882,37.54384421
생활방범,4,201111,127.2108571,37.53722994
생활방범,5,201704,127.2125614,37.54325241
생활방범,5,201806,127.1945389,37.57341449
생활방범,4,202206,127.2137584,37.55019023
쓰레기단속,1,201701,127.1748,37.53844
교통단속,1,202212,127.17808,37.57202
생활방범,5,202105,127.1851502,37.54976675
생활방범,3,201311,127.1895967,37.5223229
생활방범,4,201012,127.2158354,37.53742009
생활방범,4,201709,127.1856182,37.5603837
생활방범,4,201012,127.2056127,37.5452645
생활방범,4,202106,127.1941904,37.53882592
쓰레기단속,1,201701,127.2004,37.54333
생활방범,3,201411,127.1887439,37.53467354
생활방범,5,201704,127.2115254,37.54442074
차량방범,4,201205,127.1848492,37.55134421
생활방범,4,,127.2362341,37.54305964
교통단속,1,201908,127.166758,37.53135
생활방범,5,202005,127.1788434,37.57655745
쓰레기단속,2,202101,127.2111,37.53808
생활방범,3,,127.1610261,37.50410731
생활방범,3,201311,127.1989898,37.55152715
생활방범,3,201808,127.1758395,37.52294902
생활방범,4,201311,127.1874473,37.53480559
생활방범,6,201111,127.2035319,37.54269628
생활방범,5,201806,127.1874231,37.55555769
생활방범,4,201707,127.1863913,37.56811428
재난재해,1,,127.2021,37.5313
생활방범,4,201709,127.1856182,37.56038371
재난재해,1,,127.1799,37.5225
생활방범,4,202105,127.2369112,37.5037992
생활방범,3,201012,127.2132042,37.54040314
생활방범,3,202206,127.2024605,37.53886904
생활방범,4,201111,127.210728,37.53602292
생활방범,6,201906,127.1561023,37.51468275
생활방범,4,201706,127.229099,37.53119171
생활방범,5,201908,127.1983218,37.56503852
생활방범,3,201311,127.1981753,37.52551221
생활방범,3,201012,127.2075597,37.5372542
쓰레기단속,1,201701,127.1623,37.52529
시설물관리,2,202011,127.1777317,37.52128876
생활방범,1,201311,127.2094175,37.53810088
생활방범,5,201111,127.2030788,37.54301239
생활방범,4,201808,127.22893,37.50807732
생활방범,4,201012,127.2010484,37.53780431
쓰레기단속,2,201901,127.206,37.53973
재난재해,1,,127.2501,37.5385
쓰레기단속,1,201701,127.1913,37.50498
생활방범,5,,127.1509453,37.5091287
생활방범,4,202106,127.1929397,37.5411987
생활방범,4,201111,127.2043977,37.54368085
시설물관리,6,202101,127.1620101,37.4851001
쓰레기단속,1,201701,127.1913,37.50498
생활방범,5,201812,127.1982113,37.54909114
생활방범,4,201506,127.2350731,37.49063126
생활방범,4,202007,127.1585067,37.53783626
교통단속,1,201908,127.202889,37.559058
생활방범,4,201806,127.1886887,37.56316653
생활방범,4,201707,127.187303,37.56761784
생활방범,1,201311,127.1835156,37.54852431
쓰레기단속,1,201801,127.2128,37.54104
생활방범,5,202206,127.2069235,37.54223531
생활방범,5,201704,127.2090768,37.54434562
생활방범,4,201811,127.1729602,37.52796661
차량방범,2,200905,127.1415303,37.50707822
생활방범,4,202007,127.1956446,37.54583742
생활방범,4,202206,127.2297974,37.53228991
생활방범,3,201012,127.2132042,37.54040314
생활방범,5,202304,127.2131,37.5599
생활방범,4,201202,127.1996343,37.53450955
교통단속,1,201612,127.184105,37.551255
쓰레기단속,1,201801,127.2128,37.54104
